Tweet,Tweet timestamp,Location,Sentiment
FUCK BELL MEDIA,09-02-2021 17:35,Vancouver,Negative
#MarchaDeLaLealtad #AMLOmasFuertequeNunca,09-02-2021 17:35,Vancouver,Negative
@DeltaBCDad @BC_Moves We already do subsidize and it doesn't work well. Right now ticketing and routes are a mess.\u2026 https://t.co/AaCiW3RTp8,09-02-2021 17:35,Vancouver,Positive
@Ginger624 Why didn\u2019t they leave already? Cannot find  a job perhaps?,09-02-2021 17:35,Vancouver,Negative
@suelenaf HAHAHAHAHA AMOGAAAA,09-02-2021 17:35,Vancouver,Negative
"Just posted a photo @ Maple Ridge, British Columbia https://t.co/JpxqKa9u5W",09-02-2021 17:35,Vancouver,Positive
@Brandon44209795 @tommykippes Ok that\u2019s where I draw the line! Donnie and the amok are ghandi too?!?! What. \nThe. \nFuck?!?! Bell media?!?!,09-02-2021 17:35,Vancouver,Negative
Wow,09-02-2021 17:35,Vancouver,Negative
@twephen @j_mcelroy \u201cLet\u2019s bullshit\u201d is just an advertising tool.,09-02-2021 17:35,Vancouver,Negative
@kathygriffin Pussy,09-02-2021 17:35,Vancouver,Positive
Horrible news for the 1040 crew members. Hoping they land on their feet soon,09-02-2021 17:35,Vancouver,Positive
"Just posted a photo @ Port Coquitlam, British Columbia https://t.co/kqqRmRvF42",09-02-2021 17:35,Vancouver,Positive
@6456club \ud83d\ude0d\ud83d\ude0d\ud83d\ude0dLove too!,09-02-2021 17:35,Vancouver,Negative
@dagger1977 Scrapped our radio station just like that. Perhaps this is more fitting. All the best the TSN team from\u2026 https://t.co/pkjEvAGbfo,09-02-2021 17:35,Vancouver,Positive
@HumanistSocial2 @RomeUnholy I'm a social Democrat.  I'm never disappointed. The struggle is the thing.,09-02-2021 17:35,Vancouver,Negative
What a crock of shit. Screw you @Bell @BellMediaPR. How do you can an entire radio station? What a Damn joke.\u2026 https://t.co/QByhUHcKr7,09-02-2021 17:36,Vancouver,Positive
@MollyJongFast Big deep breath Molly? Pretend you are someone else? Living on Mars.,09-02-2021 17:36,Vancouver,Negative
Simply the truth - #COVID19  #MentalHealthAwareness,09-02-2021 17:36,Vancouver,Negative
@irfgaffar \u2639\ufe0f,09-02-2021 17:36,Vancouver,Negative
@deebizzo I hear you... https://t.co/pXycjU64if,09-02-2021 17:36,Vancouver,Negative
So thankful to @TSN1040 for allowing me to intern and listen along to amazing discussions for the last year or so\u2026 https://t.co/DIpHddSQpF,09-02-2021 17:36,Vancouver,Positive
"@HitCockBottom \nSo at the end of all this, because we never get the whole story till 30 years later it seems, let\u2019s\u2026 https://t.co/ifYnKDkhpz",09-02-2021 17:36,Vancouver,Negative
@NGhoussoub @NSERC_CRSNG @FP_Champagne @ChiefSciCan Double the PhD stipend and research labs will stop using them a\u2026 https://t.co/mdGokkq6bS,09-02-2021 17:36,Vancouver,Negative
"a hoax, and it wasn\u2019t over in just a year. But history is forgotten, and so true to the adage,  it\u2019s destined to re\u2026 https://t.co/38PepsPQp8",09-02-2021 17:36,Vancouver,Positive
I\u2019m in shock.,09-02-2021 17:36,Vancouver,Negative
@bsbrown1987 @wx_washington Until Monday,09-02-2021 17:36,Vancouver,Negative
@BellMediaPR you guys are garbage. You made a huge mistake. I will never support anything you promote going forward\u2026 https://t.co/tFIRiNppIN,09-02-2021 17:36,Vancouver,Positive
https://t.co/Dfn7C2bedt,09-02-2021 17:36,Vancouver,Positive
@colorado426 Don't get too excited yet. Wait til Thursday. Just enjoy whatever falls tomorrow.,09-02-2021 17:36,Vancouver,Positive
It\u2019s not a coincidence that they do this right after building up some good PR with \u201clet\u2019s talk\u201d day. What a disinge\u2026 https://t.co/QGFbD4xmu9,09-02-2021 17:36,Vancouver,Positive
@_hassanahmed9 i feel the same. Horrendously terrible day. I just don't know how to deal with this bruh,09-02-2021 17:36,Vancouver,Negative
@TSN_Sports @BellMediaPR very low move today.  I\u2019m vowing to boycott all Bell products.  @mattsekeres @mcletch\u2026 https://t.co/sGwXZptkEy,09-02-2021 17:36,Vancouver,Positive
STOP CROPPING DOGS EARS !!,09-02-2021 17:36,Vancouver,Negative
@Rad_Nikkiyvr The whole station is done?,09-02-2021 17:37,Vancouver,Positive
Nacerenvejecermorir https://t.co/bEJVFkN5H0,09-02-2021 17:37,Vancouver,Positive
"Just posted a photo @ Abbotsford, British Columbia https://t.co/Og4nuvtEeh",09-02-2021 17:37,Vancouver,Positive
Rapaz vo ter que bloquear as pessoa pq se n\xe3o for assim eu n\xe3o saio da cabe\xe7a nem da tl delas,09-02-2021 17:37,Vancouver,Negative
\u201cIt\u201d was never really \u201cP\u201d.,09-02-2021 17:37,Vancouver,Negative
13.59 minute miles https://t.co/DWxmDd2vww,09-02-2021 17:37,Vancouver,Positive
Tuitazo azo azo \n\ncc. @aguilarcamin @EnriqueKrauze @Leonkrauze @CarlosLoret @brozoxmiswebs @CiroGomezLeyva\u2026 https://t.co/anxdLodaZW,09-02-2021 17:37,Vancouver,Positive
"@Oz_in_OK @brian_sebor @BanGaoRen @RomeUnholy What I've noticed over the years is that USA left is full of talkers,\u2026 https://t.co/Ei8N90Mdin",09-02-2021 17:37,Vancouver,Positive
@JasonMillerinDC,09-02-2021 17:37,Vancouver,Negative
@JasonBroughTSN what the hell? What a business.,09-02-2021 17:37,Vancouver,Negative
N\xe3o tem sororidade que me impe\xe7a de sair na porrada co radfem,09-02-2021 17:37,Vancouver,Negative
@patersonjeff Hope to hear your back on the air soon J-pat,09-02-2021 17:37,Vancouver,Negative
@FerronMathieu @CaATiER_Chop_ER @LickertHeiko @beta_cell I think Laura Alonso\u2019s ATF6 dependent mild ER stress induc\u2026 https://t.co/dNNLEXvGPj,09-02-2021 17:37,Vancouver,Positive
I\u2019m watching as my confidence in snow is skyrocketing\ud83d\ude42!,09-02-2021 17:37,Vancouver,Positive
\ud83d\ude0e\ud83d\udc47\ud83c\udffd\ud83d\ude0e\ud83d\udc47\ud83c\udffd\ud83d\ude0e,09-02-2021 17:37,Vancouver,Negative
Good point. You know about the Uihleins ? Put the  light on them.,09-02-2021 17:37,Vancouver,Positive
Things you LOVE to see!\n\n[Video of two families arriving at school by bicycle] https://t.co/EJi95nrJEL,09-02-2021 17:37,Vancouver,Positive
Will there finally be snow this weekend in #Vancouver ?,09-02-2021 17:37,Vancouver,Positive
@CaATiER_Chop_ER @FerronMathieu @LickertHeiko @beta_cell We see one of them altered in @SisSkovsoe \u2018s BIRKO,09-02-2021 17:38,Vancouver,Positive
@brian_sebor @BanGaoRen @RomeUnholy I'M retire. I dont get CERB. BTW it has been transformed.,09-02-2021 17:38,Vancouver,Negative
"Que the music! \u201cTime of Your Life\u201d, Green Day - signed it off. Now just random music playing \u2639\ufe0f. Sad news! Heart go\u2026 https://t.co/nEqQrY3eFB",09-02-2021 17:38,Vancouver,Negative
Where is @TSN1040 playing music on the station. @BellMediaPR #SportsRadio What is actually going on?,09-02-2021 17:38,Vancouver,Negative
"@S_W_O_L_E @realjuliasong The numbers go up because of the spikes after events. Like the Brecks commercial, and so\u2026 https://t.co/Ie6GwGWWd0",09-02-2021 17:38,Vancouver,Positive
@HeyNurse_lb https://t.co/0WRt5hPsdM,09-02-2021 17:38,Vancouver,Positive
Gutted by this news. Just brutal. Thinking of my friends and former colleagues at 1040. Good people who deserved better,09-02-2021 17:38,Vancouver,Positive
Exactamente \n\ud83d\udc47\ud83c\udffd\ud83d\udc47\ud83c\udffd\ud83d\udc47\ud83c\udffd,09-02-2021 17:38,Vancouver,Negative
"Just posted a photo @ Surrey, British Columbia https://t.co/7N0Pxf2TNY",09-02-2021 17:38,Vancouver,Positive
@NdCal36 @prageru https://t.co/xPQqAeKRKC,09-02-2021 17:38,Vancouver,Positive
for grave plots or garden...,09-02-2021 17:38,Vancouver,Positive
#CFEesM\xe9xico,09-02-2021 17:38,Vancouver,Negative
E vcs hyparam ele de lindo antes do programa come\xe7ar eu lembro heim,09-02-2021 17:38,Vancouver,Negative
Thinking of everyone who is unexpectedly unemployed this morning. It\u2019s never good to lose a job when it\u2019s out of yo\u2026 https://t.co/t2QY3deMPT,09-02-2021 17:38,Vancouver,Positive
@dallassmith Wow,09-02-2021 17:38,Vancouver,Negative
@chris_kouv wow you\u2019re really just going about making my dreams come true eh!? \ud83e\udd7a,09-02-2021 17:38,Vancouver,Negative
@CoachDhillon @BellMediaPR Horrible...in the middle of Halford and Brough,09-02-2021 17:38,Vancouver,Negative
@Capybits @BellMediaPR If they treat their customers like they treat their staff that\u2019s not surprising.,09-02-2021 17:38,Vancouver,Negative
@FarhanLaljiTSN @TSN1040 @mattsekeres @BlakePriceTSN @patersonjeff @HalfordTSN @JasonBroughTSN @DonTaylor5 Going to\u2026 https://t.co/vl2syV25Tg,09-02-2021 17:39,Vancouver,Positive
Looking for someone named Rashawd to be my twitch mod so I can say. Shout out to my Mod Rashawd. https://t.co/8rObSgjoGd,09-02-2021 17:39,Vancouver,Positive
Odeio me estralar no frio agonia da porra,09-02-2021 17:39,Vancouver,Negative
@kevinsgonriding @ParkBoard @Dave_Eby @BowinnMa @SusieChant_nvs I hate that for you. So glad you\u2019re okay.,09-02-2021 17:39,Vancouver,Positive
"Just posted a photo @ Surrey, British Columbia https://t.co/7IaS8xe9N6",09-02-2021 17:39,Vancouver,Positive
All the divas who work in customer service directly with customers need like a five month long break after the panorama is done..,09-02-2021 17:39,Vancouver,Negative
"So many questions with regards to tsn1040 going away, the main question being what is @taj1944 gonna do with all this free time now?",09-02-2021 17:39,Vancouver,Negative
@carrybeyond Man from Mars obviously.,09-02-2021 17:39,Vancouver,Positive
BOYCOTT BELL. @BellMediaPR #BOYCOTTBELL \ud83d\udeab\ud83d\udeab\ud83d\udeab https://t.co/meFDSkJ2db,09-02-2021 17:39,Vancouver,Positive
@pauldebron I hope someone takes dump in the hallway on their way out.,09-02-2021 17:39,Vancouver,Negative
@Thuzissimo Amigo sos ele tem cara de quem n\xe3o toma banho,09-02-2021 17:39,Vancouver,Negative
"WAP (wet ass Pierce) @ Vancouver, British Columbia https://t.co/zT5rJbKEYw",09-02-2021 17:39,Vancouver,Positive
@AdinaRWilliams Beauty! Now just make a new rendition or follow up movie to it. #SmokeSignals @adamruebenbeach great movie.,09-02-2021 17:39,Vancouver,Positive
@ThomasDrance @SimonFudge74 Nuts....was listening while dropping my kid at school. I will miss the on air personalities...tough day.,09-02-2021 17:39,Vancouver,Negative
@NdCal36 @prageru Socialism hasn't meant government ownership in weater democracies since WW1. Socialism means free\u2026 https://t.co/nP4VM1Xopy,09-02-2021 17:39,Vancouver,Positive
"This industry is brutal. Big mistake, @BellMediaPR.",09-02-2021 17:39,Vancouver,Positive
Just posted a photo @ BiBo Pizzeria con Cucina https://t.co/LjGZCOStSe,09-02-2021 17:39,Vancouver,Positive
https://t.co/a2JZs6T4so,09-02-2021 17:39,Vancouver,Positive
@Araash44 \u062d\u062a\u0645\u0627\u064b \u062e\u0648\u0628 \u0645\u064a\u0634\u064a,09-02-2021 17:40,Vancouver,Negative
@canucklehead343 @tpardy21 they're unlistenable,09-02-2021 17:40,Vancouver,Positive
"@jhaahjj @elladeonRH @realjuliasong Can\u2019t argue with you Jason.  Will agree to disagree , it all depends on how you\u2026 https://t.co/mUuPRD0AeG",09-02-2021 17:40,Vancouver,Positive
Eu j\xe1 sou do time que gosta de ver justamente pra passar raiva,09-02-2021 17:40,Vancouver,Positive
@mjfree https://t.co/aLXgMimuyJ,09-02-2021 17:40,Vancouver,Positive
"\xbfQu\xe9 tendr\xe1n en sus diminutas cabecitas, los pendejos y pendejas que exigen resultados en dos a\xf1os, y callaron como\u2026 https://t.co/RFFoTAhUvB",09-02-2021 17:40,Vancouver,Positive
@NdCal36 @prageru Western*,09-02-2021 17:40,Vancouver,Negative
@cogno a witch's tit.,09-02-2021 17:40,Vancouver,Negative
Vancouver starts 2021 off with 52% jump in home sales https://t.co/wQMFjlsd8J BuzzBuzzReport via @livabl_ #vanRE,09-02-2021 17:40,Vancouver,Positive
I am shocked and saddened by this news. I\u2019ve been a loyal listener of @TSN1040 for years. They\u2019ve been the best in\u2026 https://t.co/Fv3M0DWct0,09-02-2021 17:40,Vancouver,Positive
@ThomasDrance Absolutely heart wrenching.,09-02-2021 17:40,Vancouver,Negative
@lauferlaw @KatiePhang Cannot face the \u201cmusic\u201d?,09-02-2021 17:40,Vancouver,Positive
Website and social media already scrubbed. I know people who work there. Good people. I\u2019m so mad. #TSN1040 https://t.co/898HDJj3Jt,09-02-2021 17:40,Vancouver,Positive
"Just posted a photo @ Vancouver, British Columbia https://t.co/lMboWHeI8B",09-02-2021 17:40,Vancouver,Positive
@PhyllisDalley cette fa\xe7on de regarder l'avenir ressemble \xe0 ramener le discours au niveau linguistique Fr|An blancs\u2026 https://t.co/1Gvjfv1Zvn,09-02-2021 17:40,Vancouver,Positive
@christoaivalis Bernie believes that a president gets the cabinet he chooses. There is a certain go along to get along about politics.,09-02-2021 17:40,Vancouver,Negative
@randomusernames Little stubborn guy won\u2019t give up that easy!,09-02-2021 17:40,Vancouver,Positive
@emmdunderdaale Here for you!  Hope you counted me in! \ud83d\udc95,09-02-2021 17:41,Vancouver,Negative
Exactamente eso estaba pensando \ud83d\udc47\ud83c\udffd\n\nY agregar\xeda en su momento el aeropuerto de Texcoco \xbf-imag\xednense s\xed no hubiese g\u2026 https://t.co/Qc4gmWc5gB,09-02-2021 17:41,Vancouver,Positive
Post #zoomuniversity show \ud83e\udd13 #sellingcontent #buyingcontent #sugardaddy #nsfw #onlyfans https://t.co/rRtR1XgmvO,09-02-2021 17:41,Vancouver,Positive
@BoreandConfuse That never entered the discussion and is so far out in left field it\u2019s laughable. In extraordinary\u2026 https://t.co/IVpVDNeHjj,09-02-2021 17:41,Vancouver,Positive
Ditto. I have 42 business lines with Bell. I'll be looking to switch as well. Bullshit news,09-02-2021 17:41,Vancouver,Positive
Crisp morning on the dike. @ Beach Grove https://t.co/5Lt7SZ61r2,09-02-2021 17:41,Vancouver,Positive
@Techman_1 @AdamantAnarchy @HitCockBottom \ud83d\ude02\ud83e\udd23\ud83d\ude02,09-02-2021 17:41,Vancouver,Negative
@WoodfordinDK @JanetBrown980 Not good news at all. Pretty pissed off.,09-02-2021 17:41,Vancouver,Positive
"@patersonjeff Jeff, I\u2019m so sorry to hear, and you\u2019ll obviously be bombarded with messages of support, but it\u2019s been\u2026 https://t.co/GsSrhbkjG7",09-02-2021 17:41,Vancouver,Negative
@StevenDelDuca @fordnation Ya and Liberals talk a good game about worker rights when there in opposition and them t\u2026 https://t.co/ownmFzOrd7,09-02-2021 17:41,Vancouver,Negative
#EsUnHonorEstarConObrador #EsUnHonorEstarConMySweetieCottonhead\ud83e\uddd3\ud83c\udffd,09-02-2021 17:41,Vancouver,Negative
@dagenmcdowell best honest commentator on fox #\ud83d\udc95 from canada,09-02-2021 17:41,Vancouver,Negative
@thomaskaine5 He knows how ugly his remaining days will be as he has to find new attorney\u2019s. All who will need deposits /retainers up front.,09-02-2021 17:41,Vancouver,Negative
"@d0c_z1ck @AdamantAnarchy @HitCockBottom How come no ones that Biden\u2019s gaffs, come as he gets more worked up about\u2026 https://t.co/HPEhV1ybnN",09-02-2021 17:41,Vancouver,Positive
"Good morning Bby. \nTardy, tardy, very tardy, but it's okay.\ud83d\ude06 \nAnyway, the sales assignment complete, so my next cha\u2026 https://t.co/WKv7BK5rwZ",09-02-2021 17:41,Vancouver,Positive
Pictorius\xae is open to negotiation \ud83d\udcbc Project exclusive only for @Hallmark @HallmarkB2B @GapInc and stores: @Gap\u2026 https://t.co/55J7He8L6y,09-02-2021 17:41,Vancouver,Positive
"@moodandnoise Radio sucks, but let\u2019s talk day just takes this to a whole other level.",09-02-2021 17:41,Vancouver,Positive
I just want to say Vancouver sports radio will never be the same without @HalfordTSN @JasonBroughTSN\u2026 https://t.co/2xJxrtDMT8,09-02-2021 17:41,Vancouver,Positive
"Just posted a photo @ Vancouver, British Columbia https://t.co/Pz8xAjpSbb",09-02-2021 17:42,Vancouver,Positive
"Man Bell really canned 1040, mid show too. Gross",09-02-2021 17:42,Vancouver,Negative
@ChrisFaber39 @Bell #Ruthless corporate move #BellLetsTalk,09-02-2021 17:42,Vancouver,Positive
@jspencer67 @realjuliasong Looks like I\u2019ve hit a nerve. People usually react like this when their on the wrong side\u2026 https://t.co/Xw4G4cGtza,09-02-2021 17:42,Vancouver,Negative
Pictorius\xae is open to negotiation \ud83d\udcbc Project exclusive only for @Hallmark @HallmarkB2B @GapInc and stores: @Gap\u2026 https://t.co/fKYmkNuAhO,09-02-2021 17:42,Vancouver,Positive
\u2764 Starts Wednesday February 10th to \nSunday February 14th \n10:00am to 5:00pm \u2764 @ North Shore Pawn Shop https://t.co/Rr0550X1f0,09-02-2021 17:42,Vancouver,Positive
What a brutal day for broadcasting in Vancouver. Thinking of all my friends affected. You loved &amp; supported my fami\u2026 https://t.co/oLprJHB1IH,09-02-2021 17:42,Vancouver,Positive
Can\u2019t believe what I\u2019m seeing and hearing. Long live 1040. Feel so terrible for all their incredible hosts and staff.,09-02-2021 17:42,Vancouver,Negative
"@RickyPh19899842 @realjuliasong Yep, like a fox. See you at the finish line.",09-02-2021 17:42,Vancouver,Positive
@moodandnoise Sad but true. If anything it will improve their bottom line and make shareholders happy.,09-02-2021 17:42,Vancouver,Negative
Pictorius\xae is open to negotiation \ud83d\udcbc Project exclusive only for @Macys and stores: @MacysBackstage @macysnews\u2026 https://t.co/oFy4t9M17J,09-02-2021 17:42,Vancouver,Positive
"Ever wonder who's behind the illegal and often violent ""tent cities"" in Canada? \n\nHow they organize and what it is,\u2026 https://t.co/zqQnrLKek7",09-02-2021 17:42,Vancouver,Positive
"Very saddened to hear about Bell\u2019s decision to shutter #TSN1040 today. Have done business with them for many years,\u2026 https://t.co/Su7OLFZb9F",09-02-2021 17:42,Vancouver,Positive
@Stonekettle Spot on... choices were made! https://t.co/LRRqwl6Hg8,09-02-2021 17:42,Vancouver,Positive
"@BeerGeekSmit @Ben_coli I'll pass, thanks.",09-02-2021 17:42,Vancouver,Positive
"I enjoyed bringing my show Grand Illusions Virtual Interactive to a couple of TD Canada Trust, United Way Donor Cel\u2026 https://t.co/j6US5smO3L",09-02-2021 17:42,Vancouver,Positive
"So gutted by this news, 1040 will be greatly missed. Fuck you @BellMediaPR #boycottbell",09-02-2021 17:42,Vancouver,Negative
@Twitter https://t.co/KOTWRhlk7M,09-02-2021 17:42,Vancouver,Positive
You don't know how lucky you are when someone asks you for help. \nGod has given you enough that you can help someon\u2026 https://t.co/Kyspwy4xNu,09-02-2021 17:43,Vancouver,Positive
@benoitbruneau Same. If we had properly invested in medical research and manufacturing capacity over the past 20 ye\u2026 https://t.co/FxaNCu55IE,09-02-2021 17:43,Vancouver,Positive
Present status forecast:;: #themagician https://t.co/qwJ2U17RdT,09-02-2021 17:43,Vancouver,Positive
#NXTsteppIN...#futureenterprises #HA!\xa9\u2122Dare~To~Dream,09-02-2021 17:43,Vancouver,Positive
"@thetreyofman @HumanistSocial2 @RomeUnholy Nope. Organize, educate, resist, there literally is no viable alternatjv\u2026 https://t.co/KNco6oeidR",09-02-2021 17:43,Vancouver,Positive
"@JamesCybulski If it\u2019s corporate ,money is they care about  # mental help Bell. lololol",09-02-2021 17:43,Vancouver,Negative
@ZeeNews @sudhirchaudhary do you have any good topic for news and discussion or just you only know licking BJP's ball?,09-02-2021 17:43,Vancouver,Positive
"Ever wonder who's behind the illegal and often violent ""tent cities"" in Canada? \n\nHow they organize and what it is,\u2026 https://t.co/vDYcGIDuwq",09-02-2021 17:43,Vancouver,Positive
It was just what I needed \ud83e\udd24\n\n#poutine #food https://t.co/b4E7La45tY,09-02-2021 17:43,Vancouver,Positive
"@libraryladyljh @realjuliasong Not communism, socially acceptable practices in unprecedented times. Big difference.",09-02-2021 17:43,Vancouver,Positive
"Also, @Bell is dead to me. #LetsTalk",09-02-2021 17:43,Vancouver,Positive
"First Nations agree to COVID-19 data-sharing agreement with B.C., but say deal flawed via @timescolonist\u2026 https://t.co/qxHT588XKi",09-02-2021 17:43,Vancouver,Positive
"@brian_sebor @BanGaoRen @RomeUnholy I see a country of keyboard warriors but little action, just complaining.",09-02-2021 17:43,Vancouver,Positive
@RisottoSamurai \u3042\u3001\u50d5\u3082190\u30bb\u30f3\u30c1\u76ee\u6307\u3057\u3066\u725b\u4e73\u98f2\u3093\u3067\u307e\u3059\u3002\u4eca165\u30bb\u30f3\u30c1,09-02-2021 17:43,Vancouver,Negative
"Happy to be supporting hundreds of safe, free &amp; affordable activities for families to do over the #BCFamilyDay long\u2026 https://t.co/DfXTzkl2N1",09-02-2021 17:43,Vancouver,Positive
#BoycottBell,09-02-2021 17:43,Vancouver,Negative
"@TheBarcaShow For the most part, but highly trained teenagers and/or young adults.",09-02-2021 17:43,Vancouver,Positive
@SportySpice666 @Oz_in_OK @brian_sebor @BanGaoRen @RomeUnholy I'm retired. I get everything I need to do done in one hour a day.,09-02-2021 17:43,Vancouver,Negative
@mediarz I didn\u2019t think they still made that,09-02-2021 17:44,Vancouver,Positive
"@Bell you messed up. Vancouver loves #TSN1040 \n\nI don't know what to say, but I know it won't he anything in your support.",09-02-2021 17:44,Vancouver,Negative
"Like many others, I was a team1040 listener from the beginning. A lot of very talented broadcasters worked there. This is a dark day.",09-02-2021 17:44,Vancouver,Positive
@tommykippes @HalfordTSN @JasonBroughTSN 1040 is done. Station completely shut down,09-02-2021 17:44,Vancouver,Positive
FUCK BELL MEDIA #BOYCOTTBELL,09-02-2021 17:44,Vancouver,Negative
Sad to hear about the massive job losses from TSN. I loved listening to them for almost 20 years and for the radio\u2026 https://t.co/RLUwZsXD56,09-02-2021 17:44,Vancouver,Negative
Nailed it @satishacharya,09-02-2021 17:44,Vancouver,Negative
@keithbaldrey @TrishJewison Right about the same time! https://t.co/dkEX2sCI3Y,09-02-2021 17:44,Vancouver,Positive
"@schaaptop Not only that, they don\u2019t even care about the product. They will hire who will put up with the most BS for the cheapest price.",09-02-2021 17:44,Vancouver,Positive
#bringback1040 650 is terrible to listen to always scratchy sucks loseing #TSN1040 sports radio in Vancouver and is gonna suck,09-02-2021 17:44,Vancouver,Negative
